Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/06/2018,CZECHIA,,CZ0003519449,,30/06/2018,11218,,EMTC - Czech a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/06/2018,CZECHIA,,CZ0003519415,,30/06/2018,11215,,EMTC - Czech a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,29/06/2018,CZECHIA,Debt with denomination < €100.000,,,27/07/2019,U03982180702104623,,"e-Finance, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,26/06/2018,CZECHIA,Debt with denomination < €100.000,,,03/07/2018,U03982180627094449,,"MONETA Money Bank, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,23/06/2018,CZECHIA,Debt with denomination ≥ €100.000,,,28/06/2018,U04710180626131514,,"DEKINVEST podfond Alfa, za nějž jedná DEKINVEST,investiční fond s proměnným základním kapitálem,a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/06/2018,CZECHIA,,CZ0002005689,,21/06/2018,10982,,Wüstenrot hypoteční banka a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/06/2018,CZECHIA,,CZ0003519225,,20/06/2018,10980,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/06/2018,CZECHIA,,CZ0003519217,,20/06/2018,10979,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/06/2018,CZECHIA,,CZ0003519233,,20/06/2018,10981,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/06/2018,CZECHIA,,CZ0003519316,,14/06/2018,10912,,Europa Investment Property CZ a.s. -  ,
Standalone Prospectus,Standalone prospectus,,13/06/2018,CZECHIA,Shares,,,15/06/2018,U03982180613100451,,Prabos plus a.s. -  ,
Standalone Prospectus,Standalone prospectus,,13/06/2018,CZECHIA,Debt with denomination < €100.000,,,24/07/2018,U04517180614083136,,"UniCredit Bank Czech Republic and Slovakia, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,09/06/2018,CZECHIA,Shares,,,13/06/2018,U04710180611100920,,HUB VENTURES a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/06/2018,CZECHIA,,CZ0003519050,,09/06/2018,10903,,Czech-Moravian Properties a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/06/2018,CZECHIA,,CZ0003519043,,09/06/2018,10902,,Czech-Moravian Properties a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/06/2018,CZECHIA,,CZ0003519126,,07/06/2018,10898,,GEEN Development a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/06/2018,CZECHIA,,CZ0003519118,,02/06/2018,10890,,NWD Group a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/06/2018,CZECHIA,,CZ0003519100,,02/06/2018,10891,,NWD Group a.s. -  ,
Standalone Prospectus,Standalone prospectus,,30/05/2018,CZECHIA,Debt with denomination < €100.000,,,15/06/2018,U04517180531092234,,FINEP Hloubětín a.s. -  ,
Standalone Prospectus,Standalone prospectus,,30/05/2018,CZECHIA,Debt with denomination < €100.000,,,05/10/2019,U04517180531112048,,"Saunia, s.r.o. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/05/2018,CZECHIA,,CZ0003518946,,17/05/2018,10741,,Europa Investment Property CZ a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/05/2018,CZECHIA,,CZ0000301734,,17/05/2018,10740,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/05/2018,CZECHIA,,CZ0000301726,,17/05/2018,10739,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/05/2018,CZECHIA,,CZ0002005564,,11/05/2018,10735,,Wüstenrot hypoteční banka a.s. -  ,
Standalone Prospectus,Standalone prospectus,,30/04/2018,CZECHIA,Shares,,,15/06/2018,U03982180430093822,,FILLAMENTUM a.s. -  ,
Standalone Prospectus,Standalone prospectus,,30/04/2018,CZECHIA,Shares,,,27/07/2018,U03982180430094728,,Prabos plus a.s. -  ,
Standalone Prospectus,Standalone prospectus,,27/04/2018,CZECHIA,Shares,,,18/05/2018,U04710180427150836,,Primoco UAV SE -  ,
Base Prospectus,Base prospectus without Final terms,,25/04/2018,CZECHIA,Debt with denomination < €100.000,,,27/04/2018,U04517180425110944,,Wüstenrot hypoteční banka a.s. -  ,
