Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557738,,15/02/2024,FTWS195798,Max 20000000,BOHEMIA HEALING MARIENBAD WATERS a.s. - 3157007UTRCPS5QY7632,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557886,,15/02/2024,FTWS223900,Max 16000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557894,,15/02/2024,FTWS223901,Max 4000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557878,,15/02/2024,FTWS223899,Max 16000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557985,,22/06/2024,FTWS195441,Max 140000000,PROGRESUS RD Rýmařov II a.s. - 315700GGYDO6RE5G1M95,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557803,,14/11/2024,FTWS192408,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557829,,14/11/2024,FTWS192409,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557902,,14/11/2024,FTWS192407,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557795,,14/11/2024,FTWS192406,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557779,,14/11/2024,FTWS191978,From 30000000 to 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557910,,14/11/2024,FTWS194081,Max 1500000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557852,,14/11/2024,FTWS194080,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557928,,14/11/2024,FTWS194082,Max 1500000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/01/2024,CZECHIA,Debt with denomination < €100.000,CZ0003557712,,01/03/2024,FTWS176241,50000000,BICZ Bond s.r.o. - 315700EXUNVZ0H04PT51,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,29/12/2023,CZECHIA,Derivative securities,CZ0000305420,,08/10/2024,FTWS176244,Max 1860000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557324,,05/03/2025,FTWS176239,Max 150000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557316,,05/03/2025,FTWS176238,Max 50000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557332,,05/03/2025,FTWS176240,Max 150000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557399,,19/06/2024,FTWS176236,Max 300000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557407,,19/06/2024,FTWS176237,Max 50000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557167,,06/05/2024,FTWS176242,500000000,UNICAPITAL Invest VI a.s. - 3157000U0L8QVG05ZO94,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557159,,06/05/2024,FTWS176243,500000000,UNICAPITAL Invest VI a.s. - 3157000U0L8QVG05ZO94,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557274,,15/02/2024,FTWS173880,Max 30000000,BOHEMIA HEALING MARIENBAD WATERS a.s. - 3157007UTRCPS5QY7632,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557050,,15/12/2023,FTWS171461,Max 20000000,GFF Invest s.r.o. - 3157004B6N9CNIJ89156,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003557076,,15/12/2023,FTWS171462,Max 20000000,GFF Invest s.r.o. - 3157004B6N9CNIJ89156,
Standalone Prospectus,Standalone prospectus,,08/12/2023,CZECHIA,Shares,CZ0005139154,,13/12/2023,STDA100511,40219990,Šmeral Brno a.s. - 315700A53J7AIX233850,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556938,,09/02/2024,FTWS167006,Max 40000000,Stachonie Investment s.r.o. - 315700L51LOGHA3FQG42,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556748,,19/06/2024,FTWS167002,Max 300000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556805,,19/06/2024,FTWS167004,Max 50000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556789,,27/11/2024,FTWS227498,Max 80000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Standalone Prospectus,Standalone prospectus,,01/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556441,,06/12/2023,STDA100508,From 700000000 to 1000000000,FIDUROCK Nemovitosti a.s. - 315700GZJC0X5GELP252,
Standalone Prospectus,Standalone prospectus,,01/12/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554347,,15/12/2023,STDA100516,Max 40000000,"Nemomax investiční fond s proměnným základním kapitálem, a.s. - 315700RJRI4DXPKO0149",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/12/2023,CZECHIA,Derivative securities,CZ0000305412,,08/10/2024,FTWS167391,Max 1145000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556367,,29/03/2024,FTWS166595,1300000,DRFG Bond Investment 2023 s.r.o. - 315700WZM09C8NM45W33,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556375,,29/03/2024,FTWS166594,260000000,DRFG Bond Investment 2023 s.r.o. - 315700WZM09C8NM45W33,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556557,,11/05/2024,FTWS162237,From 3000000 to 3750000,YD Real Estate Finance a.s. - 315700AW7PHHX554N577,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,29/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556524,,16/03/2024,FTWS256929,Max 110000000,PORTIVA Automotive Finance s.r.o. - 315700X0FO63KINT3N18,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556490,,02/08/2024,FTWS167003,From 50000000 to 75000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556474,,02/08/2024,FTWS167005,From 80000000 to 1200000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556466,,02/08/2024,FTWS167008,From 50000000 to 750000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556482,,02/08/2024,FTWS167007,From 80000000 to 1200000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003708521,,07/06/2024,FTWS166592,1250000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556458,,30/11/2023,FTWS160925,Max 250000000,Direct Financing s.r.o. - 315700HZ9LV542G25A66,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/11/2023,CZECHIA,Derivative securities,CZ0000305404,,08/10/2024,FTWS167390,Max 945000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/11/2023,CZECHIA,Derivative securities,CZ0000305388,,19/05/2024,FTWS166593,2500000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556326,,15/12/2023,FTWS171459,Max 25000000,GFF Invest s.r.o. - 3157004B6N9CNIJ89156,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555724,,15/12/2023,FTWS171460,Max 25000000,GFF Invest s.r.o. - 3157004B6N9CNIJ89156,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003552911,,18/01/2024,FTWS159861,25000000,Euro Holiday House s.r.o. - 315700RW7SZNT4W03M63,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/11/2023,CZECHIA,Derivative securities,CZ0000305396,,08/10/2024,FTWS167389,Max 1090000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Standalone Prospectus,Standalone prospectus,,17/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556177,,20/11/2023,STDA100495,Max 5000000000,"Dr. Max Funding CR, s.r.o. - 315700WQ3QAGA2CBZR72",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556318,,01/03/2024,FTWS159864,50000000,BICZ Bond s.r.o. - 315700EXUNVZ0H04PT51,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556276,,15/03/2024,FTWS156231,Max 40000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556268,,15/03/2024,FTWS156232,Max 40000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556094,,06/03/2024,FTWS173879,Max 1000000000,"JTPEG Financing CZ I, a.s. - 31570050YMBVOOOJGP35",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003708471,,07/06/2024,FTWS166591,2000000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556110,,13/07/2024,FTWS176231,Max 6000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556102,,13/07/2024,FTWS176230,Max 6000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556169,,15/02/2024,FTWS176234,Max 14000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556151,,15/02/2024,FTWS176232,Max 16000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556144,,15/02/2024,FTWS176235,Max 4000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/11/2023,CZECHIA,Derivative securities,CZ0003556136,,15/02/2024,FTWS176233,Max 12000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556128,,01/03/2024,FTWS159863,50000000,BICZ Bond s.r.o. - 315700EXUNVZ0H04PT51,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555914,,15/03/2024,FTWS156228,Max 30000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555997,,15/03/2024,FTWS156229,Max 30000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555906,,15/03/2024,FTWS156135,Max 30000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556003,,15/03/2024,FTWS156230,Max 30000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/11/2023,CZECHIA,Derivative securities,CZ0000305370,,08/10/2024,FTWS167388,Max 1810000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555815,,15/03/2024,FTWS155128,Max 35000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555898,,15/03/2024,FTWS155129,Max 35000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003556029,,16/02/2024,FTWS227497,Max 80000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555773,,15/03/2024,FTWS155126,Max 3000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555799,,15/03/2024,FTWS155127,Max 50000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003708505,,07/06/2024,FTWS155133,375000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/11/2023,CZECHIA,Derivative securities,CZ0000305362,,08/10/2024,FTWS167385,Max 1090000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555831,,28/05/2024,FTWS167393,Max 1000000,BHS REF Finance s.r.o. - 315700ZWOYMCJUBZQC34,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/11/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555849,,28/05/2024,FTWS167392,Max 4000000,BHS REF Finance s.r.o. - 315700ZWOYMCJUBZQC34,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/11/2023,CZECHIA,Derivative securities,CZ0000305354,,08/10/2024,FTWS167376,Max 875000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/11/2023,CZECHIA,Derivative securities,CZ0000305347,,19/05/2024,FTWS154441,2500000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/11/2023,CZECHIA,Derivative securities,CZ0000305339,,08/10/2024,FTWS167119,Max 270000000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/11/2023,CZECHIA,Derivative securities,CZ0000305297,,08/10/2024,FTWS167118,Max 1080000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,31/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555716,,01/03/2024,FTWS159862,1000000,BICZ Bond s.r.o. - 315700EXUNVZ0H04PT51,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555450,,11/05/2024,FTWS155122,From 140000000 to 175000000,YD Real Estate Finance a.s. - 315700AW7PHHX554N577,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555468,,11/05/2024,FTWS155123,From 45000000 to 56250000,YD Real Estate Finance a.s. - 315700AW7PHHX554N577,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555476,,11/05/2024,FTWS155124,From 165000000 to 206250000,YD Real Estate Finance a.s. - 315700AW7PHHX554N577,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003708497,,12/07/2024,FTWS196856,Max 15000000,"UniCredit Bank Czech Republic and Slovakia, a.s. - KR6LSKV3BTSJRD41IF75",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555005,,30/10/2023,FTWS153284,300000000,SOLEK HOLDING SE - 3157002ROYBXWRTXZ748,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555013,,30/10/2023,FTWS153283,300000000,SOLEK HOLDING SE - 3157002ROYBXWRTXZ748,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/10/2023,CZECHIA,Derivative securities,CZ0000305313,,19/05/2024,FTWS153286,95000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/10/2023,CZECHIA,Derivative securities,CZ0000305305,,19/05/2024,FTWS153288,2500000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/10/2023,CZECHIA,Derivative securities,CZ0000305321,,19/05/2024,FTWS153287,2500000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555633,,19/06/2024,FTWS153810,Max 100000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555575,,19/06/2024,FTWS153805,Max 200000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555583,,19/06/2024,FTWS153806,Max 100000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555591,,19/06/2024,FTWS153808,Max 200000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555625,,19/06/2024,FTWS153809,Max 50000000,Českomoravská Projektová VI a.s. - 315700YDVYCQJEVGIB91,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003708489,,12/07/2024,FTWS196857,Max 350000000,"UniCredit Bank Czech Republic and Slovakia, a.s. - KR6LSKV3BTSJRD41IF75",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,19/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555286,,16/03/2024,FTWS155130,Max 100000000,PORTIVA Automotive Finance s.r.o. - 315700X0FO63KINT3N18,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555294,,15/12/2023,FTWS153247,Max 500000,GFF Invest s.r.o. - 3157004B6N9CNIJ89156,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555195,,28/03/2024,FTWS153259,Max 50000000,UNICAPITAL Invest VIII a.s. - 3157005IE5EJFXLF2789,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555203,,28/03/2024,FTWS153267,Max 300000000,UNICAPITAL Invest VIII a.s. - 3157005IE5EJFXLF2789,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555211,,28/03/2024,FTWS153268,Max 300000000,UNICAPITAL Invest VIII a.s. - 3157005IE5EJFXLF2789,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555260,,05/03/2025,FTWS153275,Max 150000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555351,,05/03/2025,FTWS153278,Max 50000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555278,,05/03/2025,FTWS153279,Max 150000000,CREDITAS Invest I a.s. - 315700O4JZU78K2DVT83,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555310,,09/02/2024,FTWS153172,Max 70000000,Stachonie Investment s.r.o. - 315700L51LOGHA3FQG42,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555328,,09/02/2024,FTWS153249,Max 70000000,Stachonie Investment s.r.o. - 315700L51LOGHA3FQG42,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555096,,15/03/2024,FTWS153243,Max 90000000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003555161,,15/03/2024,FTWS153248,Max 70000,GEEN Development a.s. - 31570074I0WNRTL85M76,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,05/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554982,,05/04/2024,FTWS152331,30000000,RSBC Consortio s.r.o. - 3157002CC8M10J3Y1D69,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554990,,16/02/2024,FTWS151781,Max 80000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/10/2023,CZECHIA,Derivative securities,CZ0000305248,,19/05/2024,FTWS153285,2500000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554289,,05/04/2024,FTWS152327,30000000,RSBC Consortio s.r.o. - 3157002CC8M10J3Y1D69,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554305,,05/04/2024,FTWS152328,30000000,RSBC Consortio s.r.o. - 3157002CC8M10J3Y1D69,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554297,,05/04/2024,FTWS152329,40000000,RSBC Consortio s.r.o. - 3157002CC8M10J3Y1D69,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/10/2023,CZECHIA,Debt with denomination < €100.000,CZ0003554271,,05/04/2024,FTWS152330,50000000,RSBC Consortio s.r.o. - 3157002CC8M10J3Y1D69,
