Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Standalone Prospectus,Standalone prospectus,,,04/07/2019,ROMANIA,Shares,ZENTIVA S.A. -  ,,,08/07/2019,,879ZENTIVA
Standalone Prospectus,Standalone prospectus,,,06/06/2019,ROMANIA,Shares,PRODLACTA S.A.Brasov -  ,,,24/06/2019,,783PRODLACTA
Base Prospectus,Base prospectus without Final terms,,,23/04/2019,ROMANIA,Derivative securities,BRK FINANCIAL GROUP S.A. -  ,,,26/04/2019,"HUNGARY,POLAND",600BRKFINANCIAL
Standalone Prospectus,Standalone prospectus,,,12/12/2018,ROMANIA,Shares,CEMACON S.A. Cluj Napoca -  ,,,18/12/2018,,1534CEMACON
Standalone Prospectus,Standalone prospectus,,,31/10/2018,ROMANIA,Shares,IOR S.A. Bucuresti -  ,,,01/11/2018,,1298IOR
Standalone Prospectus,Standalone prospectus,,,24/10/2018,ROMANIA,Shares,IFMA S.A. Bucuresti -  ,,,26/10/2018,,1268IFMA
Standalone Prospectus,Standalone prospectus,,,10/10/2018,ROMANIA,Shares,ROMAERO S.A. Bucuresti -  ,,,12/10/2018,,1215ROMAERO
Standalone Prospectus,Standalone prospectus,,,03/10/2018,ROMANIA,Shares,BITTNET SYSTEMS S.A. Bucuresti -  ,,,15/10/2018,,1182BITTNETSYSTEMS
Standalone Prospectus,Standalone prospectus,,,19/09/2018,ROMANIA,Shares,PATRIA BANK S.A. Bucuresti -  ,,,21/09/2018,,PATRIABANK1131
Standalone Prospectus,Standalone prospectus,,,22/08/2018,ROMANIA,Shares,RETEZAT S.A. Sibiu -  ,,,05/09/2018,,1012RETEZAT
Standalone Prospectus,Standalone prospectus,,,01/08/2018,ROMANIA,Shares,FORAJ SONDE S.A. Craiova -  ,,,07/08/2018,,930FORAJSONDE
Standalone Prospectus,Standalone prospectus,,,12/07/2018,ROMANIA,Shares,IOR S.A. Bucuresti -  ,,,16/07/2018,,859IOR
Standalone Prospectus,Standalone prospectus,,,05/07/2018,ROMANIA,Shares,PRODLACTA S.A. Brasov -  ,,,11/07/2018,,820PRODLACTA
Standalone Prospectus,Standalone prospectus,,,26/06/2018,ROMANIA,Shares,CASA ALBA INDEPENDENTA S.A. Sibiu -  ,,,02/07/2018,,780CASAALBAINDEPENDENTA
Standalone Prospectus,Standalone prospectus,,,26/06/2018,ROMANIA,Shares,ALRO S.A. Slatina -  ,,,02/07/2018,,779ALRO
Standalone Prospectus,Standalone prospectus,,,20/06/2018,ROMANIA,Debt with denomination ≥ €100.000,BANCA TRANSILVANIA S.A. Cluj Napoca -  ,,,22/06/2018,,751BANCATRANSILVANIA
Standalone Prospectus,Standalone prospectus,,,23/05/2018,ROMANIA,Shares,PATRIA BANK S.A. -  ,,,30/05/2018,,648PATRIABANK
Standalone Prospectus,Standalone prospectus,,,09/05/2018,ROMANIA,Shares,TRANSCOM S.A. Bucuresti -  ,,,11/05/2018,,592TRANSCOM
Standalone Prospectus,Standalone prospectus,,,24/04/2018,ROMANIA,Debt with denomination < €100.000,Municipiul Bucuresti -  ,,,02/05/2018,,512MUNBUCURESTI
Standalone Prospectus,Standalone prospectus,,,24/04/2018,ROMANIA,Shares,FIMARO S.A. Cluj Napoca -  ,,,03/05/2018,,518FIMARO
Base Prospectus,Base prospectus without Final terms,,,17/04/2018,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP -  ,,,23/04/2018,,472BRKFINANCIALGROUP
Standalone Prospectus,Standalone prospectus,,,26/01/2018,ROMANIA,Shares,PURCARI WINERIES PUBLIC COMPANY S.A. Cipru -  ,,,29/01/2018,,132PURCARIWINERIES
Standalone Prospectus,Standalone prospectus,,,23/01/2018,ROMANIA,Shares,NATURA QUATTUOR ENERGIA HOLDINGS S.A. -  ,,,29/01/2018,,119NATURAQUATTUOR
Standalone Prospectus,Standalone prospectus,,,28/12/2017,ROMANIA,Shares,FORAJ SONDE S.A. Videle -  ,,,06/12/2017,,1712FORAJSONDE
Standalone Prospectus,Standalone prospectus,,,28/12/2017,ROMANIA,Debt with denomination < €100.000,IMPACT DEVELOPER & CONTRACTOR S.A. -  ,,,06/12/2017,,1710IMPACTDEVELOPER
Standalone Prospectus,Standalone prospectus,,,27/11/2017,ROMANIA,Shares,ROMAERO S.A. -  ,,,29/11/2017,,1695ROMAERO
Standalone Prospectus,Standalone prospectus,,,15/11/2017,ROMANIA,Shares,MED LIFE S.A. Bucuresti -  ,,,23/11/2017,,1617MEDLIFE
Standalone Prospectus,Standalone prospectus,,,08/11/2017,ROMANIA,Shares,GALFINBAND S.A. Galati -  ,,,23/11/2017,,1587GALFINBAND
Standalone Prospectus,Standalone prospectus,,,25/10/2017,ROMANIA,Shares,CHIMCOMPLEX S.A. Borzesti -  ,,,26/10/2017,,1520CHIMCOMPLEX
Standalone Prospectus,Standalone prospectus,,,20/10/2017,ROMANIA,Shares,SPHERA FRANCHISE GROUP S.A. Bucuresti -  ,,,24/10/2017,,1508SPHERA
Standalone Prospectus,Standalone prospectus,,,18/10/2017,ROMANIA,Shares,TRANSILVANIA BROKER DE ASIGURARE S.A. Bistrita -  ,,,20/10/2017,,1488TRANSILVANIABROKER
Standalone Prospectus,Standalone prospectus,,,04/10/2017,ROMANIA,Shares,IOR S.A. Bucuresti -  ,,,06/10/2017,,1393IOR
Standalone Prospectus,Standalone prospectus,,,04/10/2017,ROMANIA,Shares,AUTO CENTER S.A. Bucuresti -  ,,,06/10/2017,,1392AUTOCENTER
Standalone Prospectus,Standalone prospectus,,,28/09/2017,ROMANIA,Shares,TRANSCOM S.A. SIBIU -  ,,,29/09/2017,,1356TRANSCOM
Standalone Prospectus,Standalone prospectus,,,28/09/2017,ROMANIA,Shares,BITTNET SYSTEMS S.A. Bucuresti -  ,,,29/09/2017,,1353BITTNET
Standalone Prospectus,Standalone prospectus,,,13/07/2017,ROMANIA,Debt with denomination < €100.000,UNICREDIT BANK S.A. -  ,,,29/09/2017,,910UNICREDITBANK
Standalone Prospectus,Standalone prospectus,,,13/07/2017,ROMANIA,Shares,PRODLACTA S.A. BRASOV -  ,,,29/09/2017,,909PRODLACTA
Standalone Prospectus,Standalone prospectus,,,30/05/2017,ROMANIA,Shares,AAGES S.A. Sangeorgiu de Mures -  ,,,07/06/2017,,733AAGES
Base Prospectus,Base prospectus without Final terms,,,05/04/2017,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. Cluj Napoca -  ,,,11/04/2017,,471SSIFBRKFINANCIAL
Standalone Prospectus,Standalone prospectus,,,01/02/2017,ROMANIA,Debt with denomination < €100.000,VRANCART S.A. Adjud -  ,,,06/02/2017,,156VRANCART
Standalone Prospectus,Standalone prospectus,,,08/12/2016,ROMANIA,Shares,MERCUR S.A. Craiova -  ,,,12/12/2016,,2223MERCUR
Standalone Prospectus,Standalone prospectus,,,05/12/2016,ROMANIA,Shares,MED LIFE S.A. Bucuresti -  ,,,12/12/2016,,2207MEDLIFE
Standalone Prospectus,Standalone prospectus,,,08/11/2016,ROMANIA,Shares,Chimcomplex S.A. Borzesti -  ,,,09/11/2016,,2123CHIMCOMPLEX
Standalone Prospectus,Standalone prospectus,,,08/11/2016,ROMANIA,Shares,COMVEX S.A. Constanta -  ,,,11/11/2016,,2122COMVEX
Standalone Prospectus,Standalone prospectus,,,08/11/2016,ROMANIA,Shares,Turism Covasna S.A. Covasna -  ,,,10/11/2016,,2121TURISMCOVASNA
Standalone Prospectus,Standalone prospectus,,,27/10/2016,ROMANIA,Shares,Balneoclimaterica S.A. Sovata -  ,,,09/11/2016,,2075BALNEOCLIMATERICA
Standalone Prospectus,Standalone prospectus,,,19/10/2016,ROMANIA,Shares,VRANCART S.A. Adjud -  ,,,24/10/2016,,2033VRANCART
Standalone Prospectus,Standalone prospectus,,,05/10/2016,ROMANIA,Shares,OMV PETROM S.A. Bucuresti -  ,,,06/10/2016,UNITED KINGDOM,1934OMVPETROM
Standalone Prospectus,Standalone prospectus,,,05/10/2016,ROMANIA,Depository receipts,OMV PETROM S.A. Bucuresti -  ,,,06/10/2016,UNITED KINGDOM,1934OMVPETROM
Standalone Prospectus,Standalone prospectus,,,24/08/2016,ROMANIA,Shares,SIGSTRAT SA SIGHETU MARMATIEI -  ,,,01/09/2016,,1688SIGSTRAT
Standalone Prospectus,Standalone prospectus,,,10/08/2016,ROMANIA,Shares,COMMIXT S.A. BUFTEA -  ,,,12/08/2016,,1612COMMIXT
Standalone Prospectus,Standalone prospectus,,,27/07/2016,ROMANIA,Shares,TRANSCOM S.A. SIBIU -  ,,,02/08/2016,,1501TRANSCOM
Standalone Prospectus,Standalone prospectus,,,07/07/2016,ROMANIA,Shares,AGRANA ROMANIA S.A. -  ,,,13/07/2016,,1364AGRANAROMANIA
Standalone Prospectus,Standalone prospectus,,,01/06/2016,ROMANIA,Shares,CARMECO S.A. Constanta -  ,,,07/06/2016,,1168CARMECO
Standalone Prospectus,Standalone prospectus,,,05/05/2016,ROMANIA,Shares,DUCATEX S.A. Jilava -  ,,,10/05/2016,,1029DUCATEX
Standalone Prospectus,Standalone prospectus,,,10/03/2016,ROMANIA,Shares,De Constructii Napoca S.A. Cluj Napoca -  ,,,21/03/2016,,637DECONSTRUCTIINAPOCA
Standalone Prospectus,Standalone prospectus,,,04/03/2016,ROMANIA,Shares,IFMA S.A. Mogosoaia -  ,,,10/03/2016,,576IFMA
Base Prospectus,Base prospectus without Final terms,,,04/03/2016,ROMANIA,Derivative securities,SSIF BROKER S.A. Cluj Napoca -  ,,,10/03/2016,,575SSIFBROKER
Standalone Prospectus,Standalone prospectus,,,29/10/2015,ROMANIA,Shares,BANCA COMERCIALA CARPATICA SA SIBIU -  ,,,03/03/2016,,3227BANCACARPATICA
Standalone Prospectus,Standalone prospectus,,,28/10/2015,ROMANIA,Shares,NORD SA Bucuresti -  ,,,02/11/2015,,3230NORD
Standalone Prospectus,Standalone prospectus,,,28/10/2015,ROMANIA,Shares,CLUJANA S.A. Cluj NAPOCA -  ,,,02/11/2015,,3228CLUJANA
Standalone Prospectus,Standalone prospectus,,,28/10/2015,ROMANIA,Shares,PRODPLAST IMOBILIARE S.A. Bucuresti -  ,,,02/11/2015,,3229PRODPLASTIMOBILIARE
Standalone Prospectus,Standalone prospectus,,,15/10/2015,ROMANIA,Shares,NUCLEARELECTRICA S.A. -  ,,,20/10/2015,,2662NUCLEARELECTRICA
Standalone Prospectus,Standalone prospectus,,,13/08/2015,ROMANIA,Shares,TUSNAD S.A. Baile Tusnad -  ,,,01/09/2015,,1916TUSNAD
Standalone Prospectus,Standalone prospectus,,,16/07/2015,ROMANIA,Shares,MECANICA FINA S.A. Bucuresti -  ,,,06/08/2015,,1624MECANICAFINA
Standalone Prospectus,Standalone prospectus,,,12/06/2015,ROMANIA,Shares,IAR SA GHIMBAV -  ,,,22/06/2015,,1159IAR
Standalone Prospectus,Standalone prospectus,,,27/05/2015,ROMANIA,Shares,Societatea Asigurare - Reasigurare ASTRA S.A.Bucuresti -  ,,,08/06/2015,,1004ASTRA
Standalone Prospectus,Standalone prospectus,,,20/05/2015,ROMANIA,Shares,ALBALACT S.A. jud. Alba -  ,,,21/05/2015,,944ALBALACT
Standalone Prospectus,Standalone prospectus,,,05/05/2015,ROMANIA,Shares,TRANSILVANIA CONSTRUCTII S.A. Cluj Napoca -  ,,,11/05/2015,,846TRANSILVANIACONSTRUCTII
Standalone Prospectus,Standalone prospectus,,,05/05/2015,ROMANIA,Shares,TCI RAZBOIENI SA Ocna Muresului -  ,,,11/05/2015,,845TCIRAZBOIENI
Base Prospectus,Base prospectus without Final terms,,,20/04/2015,ROMANIA,Debt with denomination < €100.000,MUNICIPIUL BUCURESTI -  ,,,04/05/2015,,752MUNICIPIULBUCURESTI
Standalone Prospectus,Standalone prospectus,,,14/04/2015,ROMANIA,Debt with denomination < €100.000,IMOCREDIT IFN S.A. Cluj Napoca -  ,,,04/05/2015,,722IMOCREDIT
Base Prospectus,Base prospectus without Final terms,,,26/02/2015,ROMANIA,Derivative securities,SSIF BROKER S.A. Cluj Napoca -  ,,,09/03/2015,,329SSIFBROKER
Standalone Prospectus,Standalone prospectus,,,18/02/2015,ROMANIA,Units or shares in closed end funds,Fondul Inchis de Investitii BET-FI Index Invest -  ,,,25/02/2015,,260FONDULBET-FI
Standalone Prospectus,Standalone prospectus,,,11/02/2015,ROMANIA,Shares,SEMROM MUNTENIA S.A. BUCURESTI -  ,,,19/02/2015,,211SEMROMMUNTENIA
Standalone Prospectus,Standalone prospectus,,,04/02/2015,ROMANIA,Shares,PRODLACTA SA Brasov -  ,,,11/02/2015,,158PRODLACTA
Standalone Prospectus,Standalone prospectus,,,23/12/2014,ROMANIA,Shares,NUCLEARELECTRICA S.A. BUCURESTI -  ,,,30/12/2014,,2246NUCLEARELECTRICA
Standalone Prospectus,Standalone prospectus,,,07/10/2014,ROMANIA,Shares,CEMACON S.A. Cluj Napoca -  ,,,14/10/2014,,1432CEMACON
Standalone Prospectus,Standalone prospectus,,,03/10/2014,ROMANIA,Shares,CERSANIT ROMANIA SA Roman -  ,,,14/10/2014,,1421CERSANIT
Standalone Prospectus,Standalone prospectus,,,03/10/2014,ROMANIA,Shares,VOESTALPINE VAE APCAROM S.A. Buzau -  ,,,14/10/2014,,1422VOESTALPINE
Standalone Prospectus,Standalone prospectus,,,18/09/2014,ROMANIA,Shares,TURISM COVASNA S.A. -  ,,,24/09/2014,,1289TURISMCOVASNA
Standalone Prospectus,Standalone prospectus,,,18/09/2014,ROMANIA,Shares,UZINELE SODICE GOVORA - Ciech Chemical Group S.A. -  ,,,24/09/2014,,1288UZINELESODICEGOVORA
Standalone Prospectus,Standalone prospectus,,,29/08/2014,ROMANIA,Shares,Societatea Asigurare - Reasigurare ASTRA S.A.Bucuresti -  ,,,01/09/2014,,1143ASTRA
Standalone Prospectus,Standalone prospectus,,,05/08/2014,ROMANIA,Shares,S.C. ORIZONT TURISM S.A. Predeal -  ,,,13/08/2014,,954ORIZONTTURISM
Standalone Prospectus,Standalone prospectus,,,24/07/2014,ROMANIA,Shares,FORSEV SA Drobeta Turnu Severin -  ,,,28/07/2014,,853FORSEV
Standalone Prospectus,Standalone prospectus,,,24/07/2014,ROMANIA,Shares,FORAL SONDE SA Videle -  ,,,30/07/2014,,860FORAJSONDE
Standalone Prospectus,Standalone prospectus,,,19/06/2014,ROMANIA,Shares,Impact Developer & Contractor SA Bucuresti -  ,,,20/06/2014,,591IMPACT
Standalone Prospectus,Standalone prospectus,,,11/06/2014,ROMANIA,Shares,DFEE Electrica SA -  ,,,13/06/2014,UNITED KINGDOM,513ELECTRICA
Standalone Prospectus,Standalone prospectus,,,11/06/2014,ROMANIA,Depository receipts,DFEE Electrica SA -  ,,,13/06/2014,UNITED KINGDOM,513ELECTRICA
Standalone Prospectus,Standalone prospectus,,,29/05/2014,ROMANIA,Shares,Electroputere S.A. Craiova -  ,,,06/06/2014,,447ELECTROPUTERE
Standalone Prospectus,Standalone prospectus,,,22/05/2014,ROMANIA,Debt with denomination < €100.000,GARANTI BANK S.A. -  ,,,30/05/2014,,411GARANTIBANK
Base Prospectus,Base prospectus without Final terms,,,20/05/2014,ROMANIA,Derivative securities,SSIF BROKER S.A. Cluj Napoca -  ,,,23/05/2014,,403SSIFBROKER
Standalone Prospectus,Standalone prospectus,,,06/05/2014,ROMANIA,Debt with denomination < €100.000,S.C. Raiffeisen Bank S.A. -  ,,,15/05/2014,,362RAIFFEISENBANK
Standalone Prospectus,Standalone prospectus,,,30/04/2014,ROMANIA,Shares,PETROCART S.A. Piatra Neamt -  ,,,08/05/2014,,349PETROCART
Standalone Prospectus,Standalone prospectus,,,30/04/2014,ROMANIA,Shares,MJ MAILLIS ROMANIA S.A. -  ,,,08/05/2014,,350MJMAILLIS
Standalone Prospectus,Standalone prospectus,,,15/04/2014,ROMANIA,Shares,COMCM S.A. Constanta -  ,,,22/04/2014,,297COMCM
Standalone Prospectus,Standalone prospectus,,,27/03/2014,ROMANIA,Shares,COMMIXT S.A. Buftea -  ,,,01/04/2014,,233COMMIXT
Standalone Prospectus,Standalone prospectus,,,27/03/2014,ROMANIA,Shares,ArcelorMittal Tubular Products Iasi SA -  ,,,01/04/2014,,234ARCELORMITTAL
Standalone Prospectus,Standalone prospectus,,,27/03/2014,ROMANIA,Shares,Administrare Cazare si Cantine S.A. Bucuresti -  ,,,02/04/2014,,240ADMINISTRARECAZARE
Standalone Prospectus,Standalone prospectus,,,13/03/2014,ROMANIA,Shares,ALLEGRO MAXI TAXI S.A. Bucuresti -  ,,,19/03/2014,,197ALLEGRO
Standalone Prospectus,Standalone prospectus,,,04/03/2014,ROMANIA,Shares,PRO VORBAS FACILITY MANAGEMENT SERVICES S.A. -  ,,,11/03/2014,,170PROVORBAS
Standalone Prospectus,Standalone prospectus,,,21/02/2014,ROMANIA,Shares,CONTOR GROUP SA Arad -  ,,,25/02/2014,,133CONTOR
Standalone Prospectus,Standalone prospectus,,,04/02/2014,ROMANIA,Shares,NATURA QUATTUOR ENERGIA HOLDINGS SA Bucuresti -  ,,,10/02/2014,,83NATURA
Standalone Prospectus,Standalone prospectus,,,04/02/2014,ROMANIA,Shares,UNIREA SA Cluj Napoca -  ,,,13/02/2014,,84UNIREA
Standalone Prospectus,Standalone prospectus,,,23/01/2014,ROMANIA,Shares,NAPOCHIM SA Cluj Napoca -  ,,,04/02/2014,,56NAPOCHIM
Standalone Prospectus,Standalone prospectus,,,21/01/2014,ROMANIA,Shares,CONSTRUCTII SA Sibiu -  ,,,10/02/2014,,27CONSTRUCTIISIBIU
Standalone Prospectus,Standalone prospectus,,,10/12/2013,ROMANIA,Debt with denomination < €100.000,CNTEE TRANSELECTRICA SA -  ,,,04/02/2014,,657TRANSELECTRICA
Standalone Prospectus,Standalone prospectus,,,05/11/2013,ROMANIA,Shares,COMMIXT SA Buftea -  ,,,04/02/2014,,569COMMIXT
Base Prospectus,Base prospectus without Final terms,,,31/10/2013,ROMANIA,Derivative securities,BT SECURITIES SA Cluj Napoca -  ,,,04/02/2014,,556BTSECURITIES
Standalone Prospectus,Standalone prospectus,,,18/10/2013,ROMANIA,Shares,SNGN ROMGAZ SA Medias -  ,,,05/02/2014,UNITED KINGDOM,915ROMGAZ
Standalone Prospectus,Standalone prospectus,,,18/10/2013,ROMANIA,Depository receipts,SNGN ROMGAZ SA Medias -  ,,,05/02/2014,UNITED KINGDOM,915ROMGAZ
Standalone Prospectus,Standalone prospectus,,,17/10/2013,ROMANIA,Debt with denomination < €100.000,SIBAREX SA Campineanca -  ,,,04/02/2014,,504SIBAREX
Standalone Prospectus,Standalone prospectus,,,01/10/2013,ROMANIA,Shares,PRODVINALCO SA Cluj -  ,,,04/02/2014,,443PRODVINALCO
Standalone Prospectus,Standalone prospectus,,,30/09/2013,ROMANIA,Shares,ADEPLAST SA Prahova -  ,,,04/02/2014,,829ADEPLAST
Standalone Prospectus,Standalone prospectus,,,02/09/2013,ROMANIA,Shares,SN NUCLEARELECTRICA SA -  ,,,05/02/2014,,677NUCLEARELECTRICA
Standalone Prospectus,Standalone prospectus,,,20/08/2013,ROMANIA,Shares,CONPET SA Ploiesti -  ,,,04/02/2014,,345CONPET
Standalone Prospectus,Standalone prospectus,,,23/07/2013,ROMANIA,Debt with denomination < €100.000,RAIFFEISEN BANK SA Bucuresti -  ,,,04/02/2014,,250RAIFFEISENBANK
Standalone Prospectus,Standalone prospectus,,,13/06/2013,ROMANIA,Shares,NEW EUROPE INVESTMENTS PLC - Isle of Man -  ,,,04/02/2014,,111NEWEUROPE
Standalone Prospectus,Standalone prospectus,,,13/06/2013,ROMANIA,Debt with denomination < €100.000,UNICREDIT TIRIAC BANK S.A. -  ,,,04/02/2014,,110UNICREDITBANK
Standalone Prospectus,Standalone prospectus,,,14/05/2013,ROMANIA,Shares,COMCEREAL SA Tulcea -  ,,,04/02/2014,,09COMCEREAL
Standalone Prospectus,Standalone prospectus,,,04/04/2013,ROMANIA,Debt with denomination < €100.000,BANCA TRANSILVANIA SA Cluj Napoca -  ,,,04/02/2014,,304BANCATRANSILVANIA
Standalone Prospectus,Standalone prospectus,,,03/04/2013,ROMANIA,Shares,SNTGN TRANSGAZ SA Medias -  ,,,04/02/2014,,301TRANSGAZ
Standalone Prospectus,Standalone prospectus,,,02/04/2013,ROMANIA,Shares,SALTIM HERMES SA Timisoara -  ,,,04/02/2014,,296SALTIM
Standalone Prospectus,Standalone prospectus,,,26/03/2013,ROMANIA,Shares,CALIPSO SA Oradea -  ,,,04/02/2014,,269CALIPSO
Base Prospectus,Base prospectus without Final terms,,,26/03/2013,ROMANIA,Derivative securities,SSIF BROKER SA Cluj -  ,,,04/02/2014,,265SSIFBROKER
Standalone Prospectus,Standalone prospectus,,,19/03/2013,ROMANIA,Shares,MINDO SA Dorohoi -  ,,,04/02/2014,,254MINDO
Standalone Prospectus,Standalone prospectus,,,26/02/2013,ROMANIA,Debt with denomination < €100.000,ORIZONT TURISM SA Predeal -  ,,,04/02/2014,,195ORIZONT
Standalone Prospectus,Standalone prospectus,,,08/01/2013,ROMANIA,Shares,CONTED SA Dorohoi -  ,,,04/02/2014,,03CONTED
Standalone Prospectus,Standalone prospectus,,,06/12/2012,ROMANIA,Debt with denomination < €100.000,ORASUL HOREZU -  ,,,04/02/2014,,1113HOREZU
Standalone Prospectus,Standalone prospectus,,,11/10/2012,ROMANIA,Debt with denomination < €100.000,GDF SUEZ ENERGY ROMANIA SA -  ,,,04/02/2014,,921GDFSUEZ
Standalone Prospectus,Standalone prospectus,,,05/09/2012,ROMANIA,Shares,CONSTRUCTII FEROVIARE SA Craiova -  ,,,04/02/2014,,747CONSTRUCTII
Standalone Prospectus,Standalone prospectus,,,10/04/2012,ROMANIA,Shares,STIROM SA Bucuresti -  ,,,04/02/2014,,353STIROM
Standalone Prospectus,Standalone prospectus,,,13/03/2012,ROMANIA,Shares,CNTEE TRANSELECTRICA SA Bucuresti -  ,,,04/02/2014,,240TRANSELECTRICA
Base Prospectus,Base prospectus without Final terms,,,08/03/2012,ROMANIA,Derivative securities,SSIF BROKER S.A. Cluj Napoca -  ,,,04/02/2014,,233SSIFBROKER
